File Name,Original UTC Time,Local Time
2025-05-11T00_12_21+00_00.jpg,2025-05-11T00:12:21,2025-05-10 18:12:21
2025-05-11T00_27_50+00_00.jpg,2025-05-11T00:27:50,2025-05-10 18:27:50
2025-05-11T00_43_19+00_00.jpg,2025-05-11T00:43:19,2025-05-10 18:43:19
2025-05-11T00_58_55+00_00.jpg,2025-05-11T00:58:55,2025-05-10 18:58:55
2025-05-11T01_14_25+00_00.jpg,2025-05-11T01:14:25,2025-05-10 19:14:25
2025-05-11T01_29_51+00_00.jpg,2025-05-11T01:29:51,2025-05-10 19:29:51
2025-05-11T01_45_21+00_00.jpg,2025-05-11T01:45:21,2025-05-10 19:45:21
2025-05-11T02_00_20+00_00.jpg,2025-05-11T02:00:20,2025-05-10 20:00:20
2025-05-11T02_15_17+00_00.jpg,2025-05-11T02:15:17,2025-05-10 20:15:17
2025-05-11T02_30_21+00_00.jpg,2025-05-11T02:30:21,2025-05-10 20:30:21
2025-05-11T02_45_19+00_00.jpg,2025-05-11T02:45:19,2025-05-10 20:45:19
2025-05-11T03_00_22+00_00.jpg,2025-05-11T03:00:22,2025-05-10 21:00:22
2025-05-11T03_14_55+00_00.jpg,2025-05-11T03:14:55,2025-05-10 21:14:55
2025-05-11T03_28_51+00_00.jpg,2025-05-11T03:28:51,2025-05-10 21:28:51
2025-05-11T03_42_55+00_00.jpg,2025-05-11T03:42:55,2025-05-10 21:42:55
2025-05-11T03_56_55+00_00.jpg,2025-05-11T03:56:55,2025-05-10 21:56:55
2025-05-11T04_10_56+00_00.jpg,2025-05-11T04:10:56,2025-05-10 22:10:56
2025-05-11T04_24_58+00_00.jpg,2025-05-11T04:24:58,2025-05-10 22:24:58
2025-05-11T04_38_52+00_00.jpg,2025-05-11T04:38:52,2025-05-10 22:38:52
2025-05-11T04_52_20+00_00.jpg,2025-05-11T04:52:20,2025-05-10 22:52:20
2025-05-11T05_05_54+00_00.jpg,2025-05-11T05:05:54,2025-05-10 23:05:54
2025-05-11T05_19_52+00_00.jpg,2025-05-11T05:19:52,2025-05-10 23:19:52
2025-05-11T05_33_56+00_00.jpg,2025-05-11T05:33:56,2025-05-10 23:33:56
2025-05-11T05_47_50+00_00.jpg,2025-05-11T05:47:50,2025-05-10 23:47:50
2025-05-11T06_01_21+00_00.jpg,2025-05-11T06:01:21,2025-05-11 00:01:21
2025-05-11T06_15_19+00_00.jpg,2025-05-11T06:15:19,2025-05-11 00:15:19
2025-05-11T06_28_53+00_00.jpg,2025-05-11T06:28:53,2025-05-11 00:28:53
2025-05-11T06_42_20+00_00.jpg,2025-05-11T06:42:20,2025-05-11 00:42:20
2025-05-11T06_57_06+00_00.jpg,2025-05-11T06:57:06,2025-05-11 00:57:06
2025-05-11T07_10_59+00_00.jpg,2025-05-11T07:10:59,2025-05-11 01:10:59
2025-05-11T07_24_57+00_00.jpg,2025-05-11T07:24:57,2025-05-11 01:24:57
2025-05-11T07_38_52+00_00.jpg,2025-05-11T07:38:52,2025-05-11 01:38:52
2025-05-11T07_52_21+00_00.jpg,2025-05-11T07:52:21,2025-05-11 01:52:21
2025-05-11T08_05_50+00_00.jpg,2025-05-11T08:05:50,2025-05-11 02:05:50
2025-05-11T08_19_51+00_00.jpg,2025-05-11T08:19:51,2025-05-11 02:19:51
2025-05-11T08_33_50+00_00.jpg,2025-05-11T08:33:50,2025-05-11 02:33:50
2025-05-11T08_47_54+00_00.jpg,2025-05-11T08:47:54,2025-05-11 02:47:54
2025-05-11T09_01_52+00_00.jpg,2025-05-11T09:01:52,2025-05-11 03:01:52
2025-05-11T09_15_51+00_00.jpg,2025-05-11T09:15:51,2025-05-11 03:15:51
2025-05-11T09_29_50+00_00.jpg,2025-05-11T09:29:50,2025-05-11 03:29:50
2025-05-11T09_43_20+00_00.jpg,2025-05-11T09:43:20,2025-05-11 03:43:20
2025-05-11T09_56_56+00_00.jpg,2025-05-11T09:56:56,2025-05-11 03:56:56
2025-05-11T10_10_21+00_00.jpg,2025-05-11T10:10:21,2025-05-11 04:10:21
2025-05-11T10_23_52+00_00.jpg,2025-05-11T10:23:52,2025-05-11 04:23:52
2025-05-11T10_37_20+00_00.jpg,2025-05-11T10:37:20,2025-05-11 04:37:20
2025-05-11T10_50_56+00_00.jpg,2025-05-11T10:50:56,2025-05-11 04:50:56
